fold,seed,epoch,training_loss,internal_validation_loss,improved
fold_1,20260829,1,0.6948354528063819,0.6930834437027956,True
fold_1,20260829,2,0.6913513711520604,0.6898275674917759,True
fold_1,20260829,3,0.681788444519043,0.6848751734464597,True
fold_1,20260829,4,0.6519360939661661,0.6789535650840173,True
fold_1,20260829,5,0.6424706464722043,0.6626643416209098,True
fold_1,20260829,6,0.6173196803955805,0.6441189952385731,True
fold_1,20260829,7,0.6128281851609548,0.6371167409114349,True
fold_1,20260829,8,0.6140901815323603,0.6633166074752808,False
fold_1,20260829,9,0.6282880930673509,0.641051926673987,False
fold_1,20260829,10,0.6188392951374962,0.654808501402537,False
fold_1,20260829,11,0.623931558359237,0.6375036667554806,False
fold_1,20260829,12,0.5879030241852715,0.6320566947643573,True
fold_1,20260829,13,0.5958719877969652,0.6148300568262736,True
fold_1,20260829,14,0.5836875438690186,0.6256069907775292,False
fold_1,20260829,15,0.5598406734920683,0.5973775738324875,True
fold_1,20260829,16,0.560886290811357,0.6015115815859574,False
fold_1,20260829,17,0.5421040512266613,0.6094939830975655,False
fold_1,20260829,18,0.5262522881939298,0.5802041276907309,True
fold_1,20260829,19,0.5206554872649056,0.6550188721754612,False
fold_1,20260829,20,0.5104501701536632,0.5919745625593723,False
fold_1,20260829,21,0.48989724545251756,0.5846508565621499,False
fold_1,20260829,22,0.4807046822139195,0.6013150482605665,False
fold_1,20260829,23,0.46853416164716083,0.5958058199821374,False
fold_1,20260829,24,0.4949163013980502,0.7126484008935782,False
fold_1,20260829,25,0.4741798071634202,0.6537203987439474,False
fold_1,20260829,26,0.45099454408600215,0.5856065497948573,False
fold_1,20260829,27,0.43649778479621526,0.6760451335173386,False
fold_1,20260829,28,0.47227237338111516,0.626023666980939,False
fold_1,20260829,29,0.4493326090631031,0.6958128702946198,False
fold_1,20260829,30,0.42654956593399956,0.6221576440028656,False
fold_1,20260830,1,0.6939604991958255,0.6914392144252093,True
fold_1,20260830,2,0.6819007992744446,0.6856300479326493,True
fold_1,20260830,3,0.6600274500392732,0.689011737322196,False
fold_1,20260830,4,0.6509964239029657,0.6837764412928851,True
