sample_id,nhle_list_entry,geographic_group_id,terrain_provenance_id,survey_year,source_resolution_m,processing_version,patch_size_m,acquisition_status,raw_qa_status,representation_qa_status,representations,qa_status,raw_sha256,patch_sha256,processed_sha256,cross_cell,overlap_group_id
E001P-7e28c3e6ee6c,1016665,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,3badddcec9c1c6cab0ad34ff4ec609d7407a16acaa51f8f1b70c8fcc1849613c,ca30a3808f82b34d86f826749553b79f4640bfffe872c0011ad21211b892562f,f2f7f76d88bfd4a8f82c49f9937588feecdd3b7d0d4aa4a2ac9707c89695bc42,False,
E001P-7ef626876471,1017281,BNG_100KM_E3_N0,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,a5328c2e6f995fd7d7eb86f5e6e4f56ac50352cc6f4170f54e480afe3083d432,e8152ea50cf0acc5650e19503057db33c842057aece398af575b2b14b94f2db1,bc0a0ecfdb40f514b3dd17249344fb7e09cf3624393f1f9a7c1636353b2e93f3,False,
E001P-7f15cf198a5e,1017347,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,ebbf5a51ea5d956e9557e0b418d8809de0ecc2fb4381310becab490d4e46f061,e51c587ca2cafd4e1adf47b318cd0a37690ba12c2c34d651e84f252accfce3f4,d809cdcb9c56c5b69d48578095aeed568042bdaa102f9b36a97779a89d53567f,False,
E001P-7f1a2d3e35e8,1012334,BNG_100KM_E6_N1,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d514f3502b923ccb16b3a8e51655a9cd37897b1a916c798af9bdc490a417c443,9bda239bc52193a7745975c810dd4341036434aa9f1d09a5d9407491aff74536,00119fa7a12cbc8bc358893d4e8152aec2833a668e828017b72d223f396e65df,False,
E001P-7fcb5e488cac,1021126,BNG_100KM_E5_N3,EAP-8e32eccbc87e,2017,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,257e9d8ce45b000659ff925676e52ca4cfa7b8a1e8453591b0faf66b5d701299,b421e59c432521e70f8eb532873fac0b8572a96898e37ce7c42ee00de639229b,d22f184e43a43115207abb0de44c9fcac30a237e676af605c0d5953486511cf2,False,
E001P-8078c8ff9e4d,1008060,BNG_100KM_E4_N3,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,9b5cb062f6233eb08bd6adf30aa129c12678f232b1725aa3599c81f06d821cf9,49b40e126064e0dbfff13a0724721166cb0d3cea24974a85beae4378f5ff65b2,f2b113171d4a198e03cc0fdb983ca9a204c740c7cdad5efc30fafca33499ceea,False,
E001P-8214b5bcd75b,1011765,BNG_100KM_E6_N1,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,1f560aae721e08659b5eece40800727b6128af572c51035a96f0c0434439d8e4,feb851a1f1474e0d3df4a6a2964bb7443ba28328f22bd15b4d823a94b8b523f0,73ad0d74aa27329f457a989b31ff730c7e5b495536e5798d21c458f990963bdb,False,
E001P-8321ac95cb70,1016874,BNG_100KM_E3_N2,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,039305bc6ffbb3b9d0b558dba7b4c1ec8f57a529e14aca90a39f24c499891489,35f171c8ace09c801bbb00065f094f815408d4a6d2e6f597c65e0d09df385133,360670fc980f1e4262f1a51dfb6f34197690a6540211164dabd43ee3056add5d,False,
E001P-83bdeb53a64c,1007342,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,dc5314f523609e4b635ad36d70571e9a83aa79b2a44c3106e1b8d780dbeda9fc,62fe3c468db109fc17e2eecff6637998dcd0d6af2e7a0b4b35efc976f922abf1,135593e4190bec8567928c83a4d7084934e9bc24872adb8d2dc6be985cc3b5a4,False,
E001P-8505ee9811d7,1018487,BNG_100KM_E4_N0,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,74c9aaa4b22893e4a73e6898bd4b213dffafd0ed5ca4bb5d3fc03d7f6456d739,87bf9a63a077850f3f7c48a75593614afcfbc1deb95496afc51fc03f97e7f986,9eed8575746dff04d3aa92d87f823b176aa09ad9cc50aedb878beb89a46e02bb,False,
E001P-85c921cf5c14,1009432,BNG_100KM_E4_N3,EAP-a800a13742ee,2022,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,7755c8446098eef26ef712b95694eb2b64f581a004953c7675a502a3dd74ea48,48f030cec900c6307bbf2b9f0e59ecacf7ed9b1859307240b2f9e1967579f869,c71dc3d9205b7c20ef747ab7935b9a0df81d5c6be198fdbb1965474c0f48ab5a,False,
