analysis_label,representation,feature_count,fold,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn_background_correct,fp_background_predicted_positive,fn_positive_predicted_background,tp_positive_correct
posthoc_geographic_robustness,all_minus_elevation,3072,fold_1,0.8333333333333333,0.8333333333333334,0.8214285714285714,0.8518518518518519,0.8363636363636363,0.9314128943758574,0.9415023741862217,44,10,8,46
posthoc_geographic_robustness,all_minus_elevation,3072,fold_2,0.8773584905660378,0.8773584905660378,0.8703703703703703,0.8867924528301887,0.8785046728971962,0.9273762904948379,0.9497075210616994,46,7,6,47
posthoc_geographic_robustness,all_minus_elevation,3072,fold_3,0.79,0.79,0.8717948717948718,0.68,0.7640449438202247,0.8936000000000001,0.9032033627414449,45,5,16,34
posthoc_geographic_robustness,all_minus_elevation,3072,fold_4,0.8425925925925926,0.8425925925925926,0.8627450980392157,0.8148148148148148,0.8380952380952381,0.9135802469135803,0.9110921426297155,47,7,10,44
posthoc_geographic_robustness,all_minus_elevation,3072,fold_5,0.8400000000000001,0.84,0.8695652173913043,0.8,0.8333333333333334,0.8784,0.9228646303597892,44,6,10,40
posthoc_geographic_robustness,all_minus_slope,3072,fold_1,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.9022633744855967,0.9207955045475549,44,10,10,44
posthoc_geographic_robustness,all_minus_slope,3072,fold_2,0.8773584905660378,0.8773584905660378,0.8571428571428571,0.9056603773584906,0.8807339449541285,0.9416162335350658,0.9568005335716012,45,8,5,48
posthoc_geographic_robustness,all_minus_slope,3072,fold_3,0.8,0.8,0.875,0.7,0.7777777777777778,0.8992,0.9082083891462133,45,5,15,35
posthoc_geographic_robustness,all_minus_slope,3072,fold_4,0.8611111111111112,0.8611111111111112,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9417009602194788,0.9479370660743579,49,5,10,44
posthoc_geographic_robustness,all_minus_slope,3072,fold_5,0.8300000000000001,0.83,0.8666666666666667,0.78,0.8210526315789474,0.8859999999999999,0.9172659094230347,44,6,11,39
posthoc_geographic_robustness,all_minus_hillshade,3072,fold_1,0.8055555555555556,0.8055555555555556,0.8,0.8148148148148148,0.8073394495412844,0.9015775034293553,0.9144427976421867,43,11,10,44
posthoc_geographic_robustness,all_minus_hillshade,3072,fold_2,0.8584905660377359,0.8584905660377359,0.8392857142857143,0.8867924528301887,0.8623853211009175,0.9291562833748664,0.9489249276795857,44,9,6,47
posthoc_geographic_robustness,all_minus_hillshade,3072,fold_3,0.8,0.8,0.875,0.7,0.7777777777777778,0.8896,0.8994443292385645,45,5,15,35
posthoc_geographic_robustness,all_minus_hillshade,3072,fold_4,0.8518518518518519,0.8518518518518519,0.9130434782608695,0.7777777777777778,0.84,0.950960219478738,0.9537997542973093,50,4,12,42
posthoc_geographic_robustness,all_minus_hillshade,3072,fold_5,0.8400000000000001,0.84,0.8863636363636364,0.78,0.8297872340425532,0.8815999999999999,0.9124186864803089,45,5,11,39
posthoc_geographic_robustness,all_minus_local_relief,3072,fold_1,0.7685185185185186,0.7685185185185185,0.7636363636363637,0.7777777777777778,0.7706422018348624,0.9036351165980796,0.917991004757221,41,13,12,42
posthoc_geographic_robustness,all_minus_local_relief,3072,fold_2,0.839622641509434,0.839622641509434,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.919188323246707,0.9321692797748375,43,10,7,46
posthoc_geographic_robustness,all_minus_local_relief,3072,fold_3,0.75,0.75,0.8205128205128205,0.64,0.7191011235955056,0.8736,0.8959809376000489,43,7,18,32
posthoc_geographic_robustness,all_minus_local_relief,3072,fold_4,0.8333333333333333,0.8333333333333334,0.9090909090909091,0.7407407407407407,0.8163265306122449,0.9393004115226339,0.9473625215854369,50,4,14,40
posthoc_geographic_robustness,all_minus_local_relief,3072,fold_5,0.8200000000000001,0.82,0.8809523809523809,0.74,0.8043478260869565,0.8916,0.9053512149779546,45,5,13,37
