analysis_label,fold,train_n,test_n,positive_bowl_barrow_n,unlabelled_background_n,geographic_group_n,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn_background_correct,fp_background_predicted_positive,fn_positive_predicted_background,tp_positive_correct
posthoc_geographic_robustness,fold_1,414,108,54,54,5,0.7962962962962963,0.7962962962962963,0.7857142857142857,0.8148148148148148,0.8,0.9142661179698217,0.9279695412513933,42,12,10,44
posthoc_geographic_robustness,fold_2,416,106,53,53,5,0.839622641509434,0.839622641509434,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9302242791028836,0.9476918704920381,43,10,7,46
posthoc_geographic_robustness,fold_3,422,100,50,50,4,0.79,0.79,0.8717948717948718,0.68,0.7640449438202247,0.9027999999999999,0.9070699798338899,45,5,16,34
posthoc_geographic_robustness,fold_4,414,108,54,54,5,0.8611111111111112,0.8611111111111112,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9413580246913581,0.9462940976132816,49,5,10,44
posthoc_geographic_robustness,fold_5,422,100,50,50,4,0.8300000000000001,0.83,0.8837209302325582,0.76,0.8172043010752689,0.8924,0.919894014900636,45,5,12,38
